Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText
10,28,,,r,🕃,@,,"🕃 Св. мц. Параскеви, що в Іконії, названої «П’ятниця»","🕃 Святої мучениці Параскеви, що в Іконії, названої «П’ятниця»",
10,28,,,,,,,Свв. мчч. Терентія й Неоніли,Святих мучеників Терентія й Неоніли,
10,28,,,,,,,"Прп. Стефана Саваїта, творця канонів","Преподобного отця нашого Стефана Саваїта, творця канонів",
10,29,b,,,,,,"Прп. Аврамія, архим., Ростовського чудотв.","Переставлення преподобного отця нашого Аврамія, архимандрита, Ростовського чудотворця",
10,29,,,,,,,Св. прпмц. Анастасії Римлянки,Святої преподобномучениці Анастасії Римлянки,
10,29,,,,,,,Прп. Аврамія Затворника,Преподобного отця нашого Аврамія Затворника,
10,30,,,,,,,"Свв. мчч. Зиновія й Зиновії, сестри його","Святих мучеників Зиновія й Зиновії, сестри його",
10,30,,,,,,,"Блаж. сщмч. Олексія Зарицького, пресвіт.","Блаженного священномученика Олексія Зарицького, пресвітера",
10,31,,,,,,,"Свв. апп. Стахія, Амплія і тих, що з ними","Святих апостолів Стахія, Амплія і тих, що з ними",
10,31,,,,,,,Св. мч. Єпімаха,Святого мученика Єпімаха,
11,1,,,r,🕂,+,&dagger;,"🕂 Сщмч. Теодора Ромжі, єп. Мукачівського","🕂Священномученика Теодора Ромжі, єпископа Мукачівського",
11,1,,,,🕃,&,,🕃 Свв. чудотв. і безср. Косми й Дам’яна,🕃 Святих чудотворців і безсрібників Косми й Дам’яна,
11,2,,,,,,,"Свв. мчч. Акиндина, Пигасія, Афтонія, Єлпидифора й Анемподиста","Святих мучеників Акиндина, Пигасія, Афтонія, Єлпидифора й Анемподиста",
11,3,,,,,,,"Свв. мчч. Акепсими, єп., Йосифа, пресвіт., і Аїтала, дияк.","Святих мучеників Акепсими, єпископа, Йосифа, пресвітера, і Аїтала, диякона",
11,3,,,,,,,"Оновлення храму св. вмч. Юрія, що в Лідді, де спочиває його чесне тіло","Оновлення храму Святого великомученика Юрія, що в Лідді, де спочиває його чесне тіло",
11,4,,,,,,,Прп. Йоанікія Великого,Преподобного отця нашого Йоанікія Великого,
11,4,,,,,,,"Св. мч. Нікандра, єп. Мирського","Святого мученика Нікандра, єпископа Мирського",
11,4,,,,,,,"Св. Єрмея, пресвіт.","Святого Єрмея, пресвітера",
11,5,,,,,,,Свв. мчч. Галактіона і Єпістими,Святих мучеників Галактіона і Єпістими,
11,6,,,,🕃,&,,"🕃 Св. Павла, архиєп. Царгородського, ісп.","🕃 Святого Павла, архиєпископа Царгородського, ісповідника",
11,7,,,,,,,"Свв. тридцяти трьох мчч., що в Мелітині","Святих тридцяти трьох мучеників, що в Мелітині",
11,7,,,,,,,"Прп. і чудотв. Лазаря, що постив на Галисійській горі","Преподобного отця нашого і чудотворця Лазаря, що постив на Галисійській горі",
11,8,,i,r,🕁,*,&dagger;,🕁 Собор св. архистр. Михаїла та інших безтілесних сил,🕁 Собор святого архистратига Михаїла та інших безтілесних сил,
11,9,,,,,,,Свв. мчч. Онисифора й Порфирія,Святих мучеників Онисифора й Порфирія,
11,9,,,,,,,Прп. Матрони,Преподобної матері нашої Матрони,
11,9,,,,,,,"Прп. Теоктисти, що з Лезви","Преподобної Теоктисти, що з Лезви",
11,10,,,,,,,"Свв. апп. Ераста, Олімпа, Родіона і тих, що з ними","Святих апостолів Ераста, Олімпа, Родіона і тих, що з ними",
