Грудень,13.12,6,сб,"🕂 Свв. мчч. Євстратія, Авксентія, Євгенія, Мардарія й Ореста Св. мц. Лукії, діви",Ряд.:,Мчч.:,#ap213,#ap233,#lk051a,#lk106,Субота 27-ма після 50-ці. Цей і преподобним,"Неділя 27-га після 50-ці. Цей і в суботу після Богоявлення, і святим мученикам",Субота 27-го тижня,"Вівторок 29-го тижня. Цей і на Христа Чоловіколюбця, і святим мученикам"
Грудень,14.12,7,нд,"Неділя 27-ма по Зісланні Святого Духа. Свв. мчч. Тирса, Левкія, Филимона, Аполлонія й Каленика",,,#ap257,,#lk076,,Неділя 29-ма після 50-ці. Цей і в неділю праотцям,,Неділя 28-ма. Це і в неділю праотців,
Грудень,15.12,1,пн,"🕃 Св. Стефана ісп., архиєп. Сурозького Св. сщмч. Єлевтерія Прп. Павла, що в Латрі",,,#ap294,,#lk097,,Понеділок 28-го тижня після 50-ці,,Понеділок 28-го тижня,
Грудень,16.12,2,вв,Св. прор. Аггея,,,#ap297,,#lk098,,Вівторок 28-го тижня після 50-ці,,Вівторок 28-го тижня,
Грудень,17.12,3,ср,"🕃 Св. прор. Даниїла Свв. трьох отроків: Ананії, Азарії й Мисаїла",,,#ap299,,#lk099,,Середа 28-го тижня після 50-ці,,Середа 28-го тидня,
Грудень,18.12,4,чт,"Св. мч. Севастіана і тих, що з ним",,,#ap300a,,#lk100,,Четвер 28-го тижня після 50-ці,,Четвер 28-го тижня,
Грудень,19.12,5,пт,Св. мч. Боніфатія,,,#ap301,,#lk101,,П'ятниця 28-го тижня після 50-ці,,П'ятниця 28-го тижня,
Грудень,20.12,6,сб,Субота перед Різдвом 🕃 Передсвяття Різдва Господа Бога і Спаса нашого Ісуса Христа Св. сщмч. Ігнатія Богоносця,Суботи перед Різдвом:,,#ap205,,#lk072,,Субота 26-та і субота перед Різдвом Христовим,,Субота 29-го тижня. Це й перед Різдвом Христовим у суботу,
Грудень,21.12,7,нд,"Неділя перед Різдвом, святих Отців Передсвяття Різдва Христового Св. мц. Юліанії",,,#ap328,,#mt001,,"Неділя перед Різдвом Христовим, святих отців",,"Неділя перед Різдвом Христовим, святих отців",
Грудень,22.12,1,пн,Передсвяття Різдва Христового Св. вмц. Анастасії,,,#ap308,,#lk102,,Понеділок 29-го тижня після 50-ці,,Понеділок 29-го тижня,
Грудень,23.12,2,вв,"Передсвяття Різдва Христового Свв. десятьох мчч., що в Криті",,,#ap310,,#lk106,,Вівторок 29-го тижня після 50-ці,,"Вівторок 29-го тижня. Цей і на Христа Чоловіколюбця, і святим мученикам",
Грудень,24.12,3,ср,Навечір’я Різдва Христового Св. прпмц. Євгенії,На 1-му часі –,На 3-му часі –,На 6-му часі –,На 9-му часі –,Літургія св. Василія Великого ,"Євр. 303 зач.; 1, 1-12. Єв. – Мт. 2 зач.; 1, 18-25.","Гал. 208 зач.; 3, 23-29. Єв. – Лк. 5 зач.; 2, 1-20.","Євр. 304 зач.; 1, 10 – 2, 3. Єв. – Мт. 3 зач.; 2, 1-12.","Євр. 306 зач.; 2, 11-18. Єв. – Мт. 4 зач.; 2, 13-23.","Євр. 303 зач.; 1, 1-12.","Мт. 2 зач.; 1, 18-25.","Лк. 5 зач.; 2, 1-20.","Мт. 3 зач.; 2, 1-12.","Мт. 4 зач.; 2, 13-23.","Лк. 5 зач.; 2, 1-20.",,,,
Грудень,25.12,4,чт,🕀 Різдво Господа Бога і Спаса нашого Ісуса Христа ,,,#ap209,,#mt003,,Різдво Христове,,"Різдво Христове, на Літургії",
Грудень,26.12,5,пт,"🕃 Собор Пресвятої Богородиці Св. сщмч. Євтимія, єп. Сардійського",,,#ap306,,#mt004,,На Благовіщення й на Собор Богородиці. Цей же і в Велику п'ятницю на 6-му Часі,,"26 грудня, в неділю після Різдва Христового і святим немовлятам",
Грудень,27.12,6,сб,"Субота по Різдві 🕃 Св. ап., первмч. й архдияк. Стефана Прп. й ісп. Теодора Начертанного, брата Теофана, творця канонів",Суботи по Різдві:,,#ap288,#ap017,#mt046b,#mt087,Субота після Різдва Христового,Понеділок 3-го тижня після Пасхи. Цей і святому Стефанові первомученику,Субота після Різдва Христового,Неділя 13-та. Це ж і первомученику Стефанові
Грудень,28.12,7,нд,"Неділя по Різдві. Пам’ять святих і праведних Йосифа Обручника, Давида, царя, і Якова, брата Божого Свв. двадцяти тисяч мчч., спалених у Нікомидії Блаж. сщмч. Григорія Хомишина, єп. Станіславівського",Неділі по Різдві:,,#ap200,,#mt004,,"Неділя 20-та після 50-ці. Цей же і в неділю після Різдва Христового, рівноап. Володимиру",,"26 грудня, в неділю після Різдва Христового і святим немовлятам",
Грудень,29.12,1,пн,"Свв. немовлят, за Христа вбитих у Вифлеємі Прп. Маркелла, ігум. монастиря невсипущих",,,#ap319,,#mr033,,Понеділок 30-го тижня після 50-ці,,Понеділок 30-го тижня,
Грудень,30.12,2,вв,"Св. мц. Анісії Прп. Зотика, пресвіт. і кормителя сиріт",,,#ap321a,,#mr034,,Вівторок 30-го тижня після 50-ці,,Вівторок 30-го тижня,
Грудень,31.12,3,ср,Прп. Меланії Римлянки Віддання Різдва Христового</i>,,,#ap323,,#mr036,,Середа 30-го тижня після 50-ці,,Середа 30-го тидня,
