Читання,Книга,# зач.,,перевірка,Присвята,Примітка
"Лк. 31 зач.; 7, 17-30.",Лк.,31,,,"Четвер 20-го тижня. Це ж і на знайдення голови Івана Предтечі, на Утрені",
"Лк. 32 зач.; 7, 31-35.",Лк.,32,,,П'ятниця 20-го тижня,
"Лк. 33 зач.; 7, 36-50.",Лк.,33,,,Понеділок 21-го тижня. Це ж і преподобним жінкам,
"Лк. 34 зач.; 8, 1-3.",Лк.,34,,,Вівторок 21-го тижня,
"Лк. 35 зач.; 8, 5-15.",Лк.,35,,,Неділя 21-ша,
"Лк. 36 зач.; 8, 16-21.",Лк.,36,,,Субота 23-го тижня. Це і святій Анні,
"Лк. 37 зач.; 8, 22-25.",Лк.,37,,,Середа 21-го тижня,
"Лк. 38 зач.; 8, 26-39.",Лк.,38,,,Неділя 23-тя,
"Лк. 39 зач.; 8, 41-56.",Лк.,39,,,Неділя 24-та,
"Лк. 40 зач.; 9, 1-6.",Лк.,40,,,Субота 24-го тижня,
"Лк. 41 зач.; 9, 7-11.",Лк.,41,,,Четвер 21-го тижя,
"Лк. 42 зач.; 9, 12-17.",Лк.,42,,,П'ятниця 21-го тижя,
"Лк. 43 зач.; 9, 18-22.",Лк.,43,,,Понеділок 22-го тижня,
"Лк. 44 зач.; 9, 23-27.",Лк.,44,,,Вівторок 22-го тижня,
"Лк. 45 зач.; 9, 28-36.",Лк.,45,,,"Переображення, на Утрені",див Мр. 38 зач.
"Лк. 46 зач.; 9, 37-43.",Лк.,46,,,Субота 25-го тижня,
"Лк. 47 зач.; 9, 44-50.",Лк.,47,,,Середа 22-го тижня,
"Лк. 48 зач.; 9, 49-56.",Лк.,48,a,,Четвер 22-го тижня,
"Лк. 48 зач. (від половини); 9, 51-56; 10, 22-24.",Лк.,48,b,,Святому Обрусові,
"Лк. 49 зач.; 9, 57-62.",Лк.,49,,,Субота 26-го тижня,
"Лк. 50 зач.; 10, 1-15.",Лк.,50,,,П'ятниця 22-го тижня. Це й апостолам,
"Лк. 51 зач.; 10, 16-21.",Лк.,51,b,,Загальне апостолам і ангелам,
"Лк. 51 зач.; 10, 19-21.",Лк.,51,a,,Субота 27-го тижня,
"Лк. 52 зач.; 10, 22-24.",Лк.,52,,,Понеділок 23-го тижня,
"Лк. 53 зач.; 10, 25-37.",Лк.,53,,,Неділя 25-та,
"Лк. 54 зач.; 10, 38-42; 11, 27-28.",Лк.,54,,,На всі празники Богородиці,
"Лк. 54 зач.; 10, 32-42; 11, 27-28.",,,,?,,потребує виправлення
"Лк. 55 зач.; 11, 1-10.",Лк.,55,,,Вівторок 23-го тижня,
"Лк. 56 зач.; 11, 9-13.",Лк.,56,,,Середа 23-го тижня,
"Лк. 57 зач.; 11, 14-23.",Лк.,57,,,Четвер 23-го тижня,
"Лк. 58 зач.; 11, 23-26.",Лк.,58,,,П'ятниця 23-го тижня,
"Лк. 59 зач.; 11, 29-33.",Лк.,59,,,Понеділок 24-го тижня,
"Лк. 60 зач.; 11, 34-41.",Лк.,60,,,Вівторок 24-го тижня,
"Лк. 61 зач.; 11, 42-46.",Лк.,61,,,Середа 24-го тижня,
"Лк. 62 зач.; 11, 47 – 12, 1.",Лк.,62,,,Четвер 24-го тижня,
"Лк. 63 зач.; 12, 2-12.",Лк.,63,,?,П'ятниця 24-го тижня,
"Лк. 63 зач.; 12, 2-7.",Лк.,63,,?,"Святому Юрієві, на Утрені",
"Лк. 64 зач.; 12, 8-12.",Лк.,64,,,"6 листопада, святому ісповідникові Павлові",
"Лк. 65 зач.; 12, 13-15; 22-31.",Лк.,65,,,Понеділок 25-го тижня,
"Лк. 66 зач.; 12, 16-21.",Лк.,66,,,Неділя 26-та,
