Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText,заг. служба
1,5,,,r,,,,Навечір’я Богоявлення,Навечір’я Богоявлення,Навечір'я Богоявлення,
1,5,,,,,,,Свв. мчч. Теопемпта й Теони,Святих мучеників Теопемпта й Теони,,
1,5,,,,,,,Прп. Синклитікії Олександрійської,Преподобної Синклитікії Олександрійської,,
1,6,b,,r,🕀,#,&oplus;,🕀 Святе Богоявлення Господа Бога і Спаса нашого Ісуса Христа,🕀 Святе Богоявлення Господа Бога і Спаса нашого Ісуса Христа,Богоявлення ГНІХ,
1,7,,,r,🕃,@,,"🕃 Собор св. славн. прор., предтечі і хрестителя Господнього Івана","🕃 Собор святого славного пророка, предтечі і хрестителя Господнього Івана",Собор Івана,
1,8,,,,,,,Прп. Юрія Хозевіта,Преподобного отця нашого Юрія Хозевіта,Юрія Хозевіта,
1,8,,,,,,,"Св. Еміліяна, ісп.","Святого Еміліяна, ісповідника",,
1,8,,,,,,,Прп. Домніки,Преподобної матері нашої Домніки,Домніки,
1,9,,,,,,,Св. мч. Полієвкта,Святого мученика Полієвкта,мч. Полієвкта,
1,10,,,,,,,"Св. Григорія, єп. Ниського","Святого отця нашого Григорія, єпископа Ниського",Григорія Ніського,
1,10,,,,,,,"Прп. Дометіяна, єп. Мелітинського","Преподобного Дометіяна, єпископа Мелітинського",Дометіана,
1,10,,,,,,,"Прп. Маркіяна, пресвіт. й економа Великої Церкви","Преподобного Маркіяна, пресвітера й економа Великої Церкви",,
1,11,,,r,🕂,+,&dagger;,"🕂 Прп. Теодосія, спільного життя засновника","🕂 Преподобного отця нашого Теодосія, спільного життя засновника",Теодосія,
1,12,,,,,,,Св. мц. Тетяни,Святої мучениці Тетяни,Татіяни,
1,13,,,,,,,Свв. мчч. Єрмила і Стратоніка,Святих мучеників Єрмила і Стратоніка,"Єрміла, Стратоніка",
1,14,,,,,,,"Прпп., у Синаї і Раїті повбиваних","Преподобних отців наших, у Синаї і Раїті повбиваних",,
1,14,,,,,,,"Пам’ять переставл. св. рівноап. Ніни, просвітительки Грузії","Пам’ять переставлення святої рівноапостольної Ніни, просвітительки Грузії",,
1,14,,i,r,,,,Віддання Богоявлення,У цей день віддається свято Богоявлення,віддання_Богоявління,
1,15,,,,🕃,&,,🕃 Прпп. Павла Тивейського та Івана Кущника,🕃 Преподобних отців наших Павла Тивейського та Івана Кущника,Павла Тивейського,
1,16,,,,🕃,&,,🕃 Поклін чесним оковам св. і всехв. ап. Петра,🕃 Поклін чесним оковам святого і всехвального апостола Петра,Поклін оковам Петра,
1,17,,,r,🕂,+,&dagger;,🕂 Прп. й богоносного Антонія Великого,🕂 Преподобного й богоносного отця нашого Антонія Великого,Антонія Великого,
1,18,,,,🕃,&,,🕃 Свв. і архиєпп. Олександрійських Атанасія й Кирила,🕃 Святих отців наших і архиєпископів Олександрійських Атанасія й Кирила,Атанасія і Кирила,
1,19,,,,🕃,&,,🕃 Прп. Макарія Єгипетського,🕃 Преподобного отця нашого Макарія Єгипетського,Макарія Єгипетського,
1,20,,,r,🕂,+,&dagger;,🕂 Прп. й богоносного Євтимія Великого,🕂 Прeподобного й богоносного отця нашого Євтимія Великого,Євтимія Великого,
1,21,,,,,,,Прп. Максима Ісповідника,Преподобного отця нашого Максима Ісповідника,Максима Ісповідника,
1,21,,,,,,,Св. мч. Неофіта,Святого мученика Неофіта,,
1,21,,,,,,,"Свв. мчч. Євгенія, Кандида, Валеріяна й Акили","Святих мучеників Євгенія, Кандида, Валеріяна й Акили",,
1,22,,,,,,,Св. ап. Тимотея,Святого апостола Тимотея,Тимотея,
1,22,,,,,,,Св. прпмч. Анастасія Перського,Святого преподобномученика Анастасія Перського,,
1,23,,,,,,,Блаж. Пратулинських мчч.,"Блаженних Пратулинських мучеників: Вінкентія, Микити, Івана, Константина, Михаїла, Онуфрія, Филипа, Максима, Даниїла, Константина, Вартоломея, Луки й Ігнатія",Пратулинських мчч.,
1,23,,,,,,,"Св. сщмч. Климента, єп. Анкирського","Святого священномученика Климента, єпископа Анкирського",,
1,23,,,,,,,Св. мч. Агатангела,Святого мученика Агатангела,,
1,24,,,,,,,Прп. Ксенії Римлянки,Преподобної матері нашої Ксенії Римлянки,Ксенії Римлянки,
1,25,,,r,🕂,+,&dagger;,"🕂 Св. Григорія Богослова, архиєп. Царгородського","🕂 Святого отця нашого Григорія Богослова, архиєпископа Царгородського",Григорія Богослова,
1,26,,,,,,,"Прп. Ксенофонта, дружини його Марії","Преподобного отця нашого Ксенофонта, дружини його Марії",Ксенофонта,
1,27,,,r,🕂,+,&dagger;,🕂 Перенесення чесних мощів св. Івана Золотоустого,🕂 Перенесення чесних мощів святого отця нашого Івана Золотоустого,Перен. мощей Івана Зол.,
1,28,,,,🕃,&,,🕃 Прп. Єфрема Сирійця,🕃 Преподобного отця нашого Єфрема Сирійця,Єфрема Сирійця,
1,29,,,,🕃,&,,🕃 Перенесення мощів св. сщмч. Ігнатія Богоносця,🕃 Перенесення мощів святого священномученика Ігнатія Богоносця,Ігнатія Богоносця,
1,30,,,r,🕁,*,&dagger;,"🕁 Свв. трьох святителів, великих архиєреїв: Василія Великого, Григорія Богослова та Івана Золотоустого","🕁 Святих трьох святителів, великих архиєреїв: Василія Великого, Григорія Богослова та Івана Золотоустого",Трьох святителів,
1,30,,,,,,,Св. сщмч. Іполита,Святого священномученика Іполита,,
1,31,,,,🕃,&,,🕃 Свв. чудотв. і безср. Кира й Івана,🕃 Святих чудотворців і безсрібників Кира й Івана,Кира й Івана,
1,31,,,,,,,Прп. Івана Боско,Преподобного отця нашого Івана Боско,,
2,1,,,,🕃,&,,🕃 Передсвяття Стрітення Господа Бога і Спаса нашого Ісуса Христа,🕃 Передсвяття Стрітення Господа Бога і Спаса нашого Ісуса Христа,,
2,1,,,,,,,Св. мч. Трифона,Святого мученика Трифона,Трифона,
2,2,b,,r,🕀,#,&oplus;,🕀 Стрітення Господа Бога і Спаса нашого Ісуса Христа,🕀 Стрітення Господа Бога і Спаса нашого Ісуса Христа,Стрітення ГНІХ,
2,3,,,,🕃,&,,"🕃 Св. і прав. Симеона Богоприємця і Анни, пророчиці","🕃 Святого і праведного Симеона Богоприємця і Анни, пророчиці","Симеона, Анни",
2,4,,,,,,,Прп. Ісидора Пилусіотського,Преподобного отця нашого Ісидора Пилусіотського,Ісидора,
2,5,,,,,,,Св. мц. Агафії,Святої мучениці Агафії,Агафії,
2,6,,,,,,,"Прп. Вукола, єп. Смирнського","Преподобного отця нашого Вукола, єпископа Смирнського",Вукола,
2,6,,,,,,,"Св. сщмч. Сілвана, єп. Ємеського, і тих, що з ним","Святого священномученика Сілвана, єпископа Ємеського, і тих, що з ним",,
2,7,,,,,,,"Прп. Партенія, єп. Лампсакійського","Преподобного отця нашого Партенія, єпископа Лампсакійського",Партенія,
2,7,,,,,,,"Блаж. сщмч. Петра Вергуна, пресвіт.","Блаженного священномученика Петра Вергуна, пресвітера",,
2,8,,,,🕃,&,,🕃 Св. вмч. Теодора Стратилата,🕃 Святого великомученика Теодора Стратилата,Теодора Стратилата,
2,8,,,,,,,Св. прор. Захарії Серповидця,Святого пророка Захарії Серповидця,,
2,9,,,,,,,Св. мч. Никифора,Святого мученика Никифора,Никифора,
2,10,,,,,,,Св. мч. Харалампія,Святого мученика Харалампія,Харлампія,
2,11,,,,,,,"Св. сщмч. Власія, єп. Севастійського","Святого священномученика Власія, єпископа Севастійського",Власія,
2,12,,,,,,,"Св. Мелетія, архиєп. Антіохійського","Святого отця нашого Мелетія, архиєпископа Антіохійського",Мелетія,
2,13,,,,,,,Прп. Мартиніана,Преподобного отця нашого Мартиніана,Мартиніана,
2,13,,,,,,,Свв. жінок Зої і Фотини (Світлани),Святих жінок Зої і Фотини (Світлани),,
2,14,,,r,🕂,+,&dagger;,"🕂 Переставл. прп. Константина, філософа, у монахах Кирила, учителя слов’янського","🕂 Переставлення преподобного отця нашого Константина, філософа, у монахах Кирила, учителя слов’янського",,
2,14,,,,,,,Прп. Авксентія,Преподобного отця нашого Авксентія,Авксентія,
2,14,,,,,,,"Прп. Марона, пустинника, чудотв.","Преподобного Марона, пустинника, чудотворця",,
2,15,,,,,,,Св. ап. Онисима,Святого апостола Онисима,Онисима,
2,16,,,,,,,"Свв. мчч. Памфила, єрея, Порфирія і тих, що з ними","Святих мучеників Памфила, єрея, Порфирія і тих, що з ними","Памфила, Порфирія",
2,17,,,,🕃,&,,🕃 Св. вмч. Теодора Тирона,🕃 Святого великомученика Теодора Тирона,Теодора Тирона,
2,18,,,,,,,"Св. Лева, папи Римського","Святого отця нашого Лева, папи Римського","Льва, папи Римського",
2,19,,,,,,,Св. ап. Архипа,Святого апостола Архипа,ап. Архипа,
2,20,,,,,,,"Прп. Лева, єп. Катанського","Преподобного отця нашого Лева, єпископа Катанського",прп. Льва,
2,21,,,,,,,"Прп. Тимотея, що в Символах","Преподобного отця нашого Тимотея, що в Символах",Тимотея,
2,21,,,,,,,"Св. Євстатія, архиєп. Великої Антіохії","Святого отця нашого Євстатія, архиєпископа Великої Антіохії",Євстатія,
2,22,,,,,,,"Віднайдення чесних мощів свв. мчч., що в Євгенії","Віднайдення чесних мощів святих мучеників, що в Євгенії",Віднайд. мощей в Євгенії,
2,23,,,,,,,"Св. сщмч. Полікарпа, єп. Смирнського","Святого священномученика Полікарпа, єпископа Смирнського",Полікарпа,
2,24,,,r,🕂,+,&dagger;,"🕂 Перше і друге знайдення чесної голови св. славн. прор., предтечі і хрестителя Господнього Івана","🕂 Перше і друге знайдення чесної голови святого славного пророка, предтечі і хрестителя Господнього Івана",1 і 2 знайд. глави Івана Предтечі,
2,25,,,,,,,"Св. Тарасія, архиєп. Царгородського","Святого отця нашого Тарасія, архиєпископа Царгородського",Тарасія,
2,26,,,,,,,"Св. Порфирія, єп. Газького","Святого отця нашого Порфирія, єпископа Газького",Порфирія,
2,26,,,,,,,Блаж. Едігни,Блаженної Едігни,,
2,27,,,,,,,Прп. й ісп. Прокопія Декаполіта,Преподобного отця нашого й ісповідника Прокопія Декаполіта,Прокопія,
2,28,,,,,,,"Прп. й ісп. Василія, співпосника Прокопового","Преподобного отця нашого й ісповідника Василія, співпосника Прокопового",Василія,
2,29,,,,,,,Прп. Касіана,Преподобного отця нашого Касіана,Касіана,
3,1,,,,,,,Св. прпмц. Євдокії,Святої преподобномучениці Євдокії,Євдокії,
3,2,,,,,,,"Св. сщмч. Теодота (Богдана), єп. Киринейського","Святого священномученика Теодота (Богдана), єпископа Киринейського",Теодота,
3,3,,,,,,,"Свв. мчч. Євтропія, Клеоніка й Василиска","Святих мучеників Євтропія, Клеоніка й Василиска",мч. Євтропія,
3,4,,,,,,,"Прп. Герасима, що на Йордані","Преподобного отця нашого Герасима, що на Йордані",прп. Герасима,
3,5,,,,,,,Св. мч. Конона,Святого мученика Конона,Теодора Тирона,
3,6,,,,,,,"Свв. сорока двох мчч., що в Аморії","Святих сорока двох мучеників, що в Аморії",мчч. Аморейських,
3,7,,,,,,,"Свв. сщмчч., що були єпп. в Херсоні: Василія, Єфрема, Капітона, Євгенія, Етерія й інших","Святих священномучеників, що були єпископами в Херсоні: Василія, Єфрема, Капітона, Євгенія, Етерія й інших",сщмчч. Херсонських,
3,7,,,,,,,Блаж. сщмч. Леоніда-Леонтія Федорова,Блаженного священномученика Леоніда-Леонтія Федорова,,
3,8,,,,,,,"Прп. й ісп. Теофілакта, єп. Нікомидійського","Преподобного отця нашого й ісповідника Теофілакта, єпископа Нікомидійського",Теофілакта,
3,9,,,r,🕂,+,&dagger;,"🕂 Свв. сорока мчч., замучених у Севастійському озері","🕂 Святих сорока мучеників, замучених у Севастійському озері",40 Севастійських мчч.,
3,10,,,,,,,"Св. мч. Кодрата і тих, що з ним: Кипріана, Ніки, Галини та інших","Святого мученика Кодрата і тих, що з ним: Кипріана, Ніки, Галини та інших",мч. Кондрата,
3,11,,,,,,,"Св. Софронія, патр. Єрусалимського","Святого отця нашого Софронія, патріарха Єрусалимського",Софронія,
3,12,,,,,,,Прп. й ісп. Теофана Сигріанського,Преподобного отця нашого й ісповідника Теофана Сигріанського,Теофана,
3,12,,,,,,,"Св. Григорія Двоєслова, папи Римського","Святого отця нашого Григорія Двоєслова, папи Римського",Григорія Двоєслова,
3,13,,,,,,,"Перенесення мощів св. Никифора, патр. Царгородського","Перенесення мощів святого отця нашого Никифора, патріарха Царгородського",Никифора,
3,14,,,,,,,Прп. Венедикта,Преподобного отця нашого Венедикта,Венедикта,
3,15,,,,,,,Св. мч. Агапія і з ним шести мчч.,Святого мученика Агапія і з ним шести мучеників,мч. Агапія,
3,16,,,,,,,Свв. мчч. Савина й Папи,Святих мучеників Савина й Папи,Савина й Папи,
3,17,,,,,,,"Прп. Олексія, чоловіка Божого","Преподобного отця нашого Олексія, чоловіка Божого","Олексія, чоловіка Божого",
3,18,,,,,,,"Св. Кирила, архиєп. Єрусалимського","Святого отця нашого Кирила, архиєпископа Єрусалимського",Кирила Єрусалимського,
3,19,,,,,,,Свв. мчч. Хризанта й Дарії,Святих мучеників Хризанта й Дарії,Хризанта і Дарії,
3,20,,,,,,,"Прпп. отців, яких убили сарацини в обителі Св. Сави","Преподобних отців наших, яких убили сарацини в обителі Святого Сави",прп отців обителі св. Сави,
3,21,,,,,,,"Прп. й ісп. Якова, єп. Катанського","Преподобного отця нашого й ісповідника Якова, єпископа Катанського",Якова Катанського,
3,22,,,,,,,"Св. сщмч. Василія, пресвіт. Анкирського","Святого священномученика Василія, пресвітера Анкирського",Василія Анкирського,
3,23,,,,,,,"Св. прпмч. Нікона і 200 учнів його, з ним замучених","Святого преподобномученика Нікона і двохсот учнів його, з ним замучених",прпмч. Нікона,
3,24,,,,🕃,&,,🕃 Передсвяття Благовіщення Пресвятої Богородиці,🕃 Передсвяття Благовіщення Пресвятої Богородиці,передсв. Благовіщення,
3,24,,,,,,,Прп. Захарії,Преподобного отця нашого Захарії,Захарії,
3,24,,,,,,,"Св. Артемона, єп. Селевкії Пісідійської","Святого отця нашого Артемона, єпископа Селевкії Пісідійської",,
3,25,b,,r,🕀,#,&oplus;,🕀 Благовіщення Пресв. Владичиці нашої Богородиці і Приснодіви Марії,🕀 Благовіщення Пресвятої Владичиці нашої Богородиці і Приснодіви Марії,Благовіщення Богородиці,
3,25,,,,,,,"Блаж. сщмч. Омеляна Ковча, пресвіт.","Блаженного священномученика Омеляна Ковча, пресвітера",,
3,26,,,r,🕃,@,,🕃 Собор архангела Гавриїла,🕃 Собор архангела Гавриїла,Собор Гавриїла,
3,27,,,,,,,"Св. Матрони, що в Солуні","Святої матері нашої Матрони, що в Солуні",Матрони,
3,28,,,,,,,Прп. Іларіона Нового,Преподобного отця нашого Іларіона Нового,Іларіона Нового,
3,28,,,,,,,"Св. Стефана, чудотв.","Святого Стефана, чудотворця",,
3,29,,,,,,,"Прп. Марка, єп. Аретусійського, і Кирила дияк., та інших, що з ним постраждали при Юліані, мучителеві","Преподобного отця нашого Марка, єпископа Аретусійського, і Кирила диякона, та інших, що з ним постраждали при Юліані, мучителеві",прп. Марка,
3,30,,,,,,,"Прп. Івана, автора «Ліствиці»","Препoдобного отця нашого Івана, автора «Ліствиці»",Йоана Ліствичника,
3,31,,,,,,,"Прп. Іпатія, єп. Гангренського","Преподобного отця нашого Іпатія, єпископа Гангренського",Ігнатія,
4,1,,,,,,,Прп. Марії Єгипетської,Преподобної матері нашої Марії Єгипетської,Марії Єгипетської,
4,2,,,,,,,"Прп. Тита, чудотв.","Преподобного отця нашого Тита, чудотворця",Тита,
4,3,,,,,,,"Прп. й ісп. Микити, ігум. обителі Мидикійської","Преподобного отця нашого й ісповідника Микити, ігумена обителі Мидикійської",Микити,
4,4,,,,,,,"Прпп. Йосифа, піснописця, і Юрія, що в Малеї","Преподобних отців наших Йосифа, піснописця, і Юрія, що в Малеї",Йосифа і Юрія,
4,5,,,,,,,"Свв. мчч. Теодула й Агатопода, і тих, що з ними","Святих мучеників Теодула й Агатопода, і тих, що з ними",Теодула,
4,6,,,r,🕂,+,&dagger;,"🕂 Переставл. св. Методія, учителя слов’янського","🕂 Переставлення святого отця нашого Методія, учителя слов’янського",,
4,6,,,,,,,"Св. Євтихія, архиєп. Царгородського","Святого отця нашого Євтихія, архиєпископа Царгородського",Євтихія,
4,7,,,,,,,"Прп. Юрія, єп. Мітилинського","Преподобного отця нашого Юрія, єпископа Мітилинського",Юрія Митилинського,
4,8,,,,,,,"Свв. апп. Іродіона, Агава, Руфа, Асинкріта, Флегонта і Єрма","Святих апостолів Іродіона, Агава, Руфа, Асинкріта, Флегонта і Єрма","апп. Іродіона, Агава",
4,9,,,,,,,Св. мч. Євпсихія,Святого мученика Євпсихія,Євпсихія,
4,10,,,,,,,"Свв. мчч. Терентія, Помпія і тих, що з ними","Святих мучеників Терентія, Помпія і тих, що з ними","мчч. Терентія, Помпія",
4,11,,,,,,,"Св. сщмч. Антипи, єп. Пергаму Азійського","Святого священномученика Антипи, єпископа Пергаму Азійського",Антипи,
4,12,,,,,,,"Прп. й ісп. Василія, єп. Парійського","Преподобного отця нашого й ісповідника Василія, єпископа Парійського",Василія Парійського,
4,13,,,,,,,"Св. сщмч. Артемона і тих, що з ним","Святого священномученика Артемона і тих, що з ним",Артемона,
4,14,,,,,,,"Св. Мартина Ісповідника, папи Римського","Святого отця нашого Мартина Ісповідника, папи Римського",Мартина Ісповідника,
4,14,,,,,,,"Свв. мчч. Віленських: Антонія, Івана і Євстатія","Святих мучеників Віленських: Антонія, Івана і Євстатія",,
4,15,,,,,,,"Свв. апп. Аристарха, Пуда і Трофима","Святих апостолів Аристарха, Пуда і Трофима","Аристарха, Пуда, Трофима",
4,16,,,,,,,"Свв. мцц.-дів Агапії, Ірини й Хіонії","Святих мучениць-дів Агапії, Ірини й Хіонії","Агапії, Ірини, Хіонії",
4,17,,,,,,,"Прп. Симеона, що в Персиді","Преподобного отця нашого Симеона, що в Персиді",Симеона в Персиді,
4,17,,,,,,,"Прп. Акакія, єп. Мелітинського","Преподобного отця нашого Акакія, єпископа Мелітинського",Акакія Мелітинського,
4,18,,,,,,,"Прп. Івана, учня св. Григорія Декаполіта","Преподобного отця нашого Івана, учня святого Григорія Декаполіта","Івана, учня Григорія Декаполіта",
4,19,,,,,,,"Прп. Івана, старопечерника","Преподобного отця нашого Івана, старопечерника",Івана старопечерника,
4,20,,,,,,,Прп. Тедора Трихіни,Преподобного отця нашого Теодора Трихіни,Теодора Трихіни,
4,21,,,,,,,"Св. сщмч. Януарія і тих, що з ним","Святого священномученика Януарія і тих, що з ним",Януарія,
4,21,,,,,,,"Св. мч. Теодора, що в Пергії","Святого мученика Теодора, що в Пергії",Теодора в Пергії,
4,22,,,,,,,Прп. Теодора Сикеота,Преподобного отця нашого Теодора Сикеота,Теодора Сикеот,
4,23,,,r,🕁,*,&dagger;,"🕁 Св. славн. вмч., переможця й чудотв. Юрія","🕁 Святого славного великомученика, переможця й чудотворця Юрія",Юрія Переможця,
4,24,,,,,,,"Св. мч. Сави Стратилата, воєводи","Святого мученика Сави Стратилата, воєводи",Сави Стратилата,
4,25,,,r,🕂,+,&dagger;,🕂 Св. ап. і єв. Марка,🕂 Святого апостола і євангелиста Марка,ап. Марка,
4,26,,,,,,,"Св. сщмч. Василія, єп. Амасійського","Святого священномученика Василія, єпископа Амасійського",Василія Амасійського,
4,27,,,,🕃,&,,"🕃 Св. сщмч. Симеона, родича Господнього","🕃 Святого священномученика Симеона, родича Господнього",Симеона,
4,27,,,,,,,"Прп. Стефана, єп. Володимирського","Преподобного отця нашого Стефана, єпископа Володимирського",,
4,28,,,,,,,Свв. апп. Ясона й Сосіпатра,Святих апостолів Ясона й Сосіпатра,Ясона і Сосіпатра,
4,28,,,,,,,"Свв. мчч. Дади, Максима й Кинтиліана","Святих мучеників Дади, Максима й Кинтиліана",,
4,28,,,,,,,"Св. Кирила, єп. Турівського","Святого отця нашого Кирила, єпископа Турівського",,
4,29,,,,,,,"Свв. дев’ятьох мчч., що в Кизиці","Святих дев’ятьох мучеників, що в Кизиці",мчч. в Кизиці,
4,29,,,,,,,"Прп. Мемнона, чудотв.","Преподобного Мемнона, чудотворця",,
4,30,,,r,🕂,+,&dagger;,"🕂 Св. ап. Якова, брата св. Івана Богослова","🕂 Святого апостола Якова, брата святого Івана Богослова",ап. Якова,
5,1,,,,,,,Св. прор. Єремії,Святого пророка Єремії,прор.Єремії,
5,1,,,,,,,"Блаж. сщмч. Климентія Шептицького, архим. Унівського","Блаженного священномученика Климентія Шептицького, архимандрита Унівського",,
5,2,,,,🕃,&,,"🕃 Св. Атанасія Великого, архиєп. Олександрійського","🕃 Святого отця Атанасія Великого, архиєпископа Олександрійського",Атанасія,
5,3,,,r,🕂,+,&dagger;,"🕂 Переставл. прп. Теодосія, ігум. монастиря Печерського, спільного життя засновника","🕂 Переставлення преподобного отця нашого Теодосія, ігумена монастиря Печерського, спільного життя засновника",Теодосія Печерського,
5,3,,,,,,,Свв. мчч. Тимотея й Маври,Святих мучеників Тимотея й Маври,,
5,4,,,,,,,Св. мц. Пелагії,Святої мучениці Пелагії,Пелагії,
5,5,,,,,,,Св. і славн. мц. Ірини,Святої і славної мучениці Ірини,Ірини,
5,5,,,,,,,"Прп. Никифора, ігум. монастиря Мидікійського","Преподобного отця нашого Никифора, ігумена монастиря Мидікійського",,
5,6,,,,,,,"Св., і прав., і багатостражд. Йова","Святого, і праведного, і багатостраждального Йова",Іова,
5,7,,,,🕃,&,,🕃 Спогад про явління на небі знамення чесного Хреста у св. місті Єрусалимі,🕃 Спогад про явління на небі знамення чесного Хреста у святому місті Єрусалимі,Явління Хреста,
5,7,,,,,,,Св. мч. Акакія,Святого мученика Акакія,,
5,8,,,r,🕁,*,&dagger;,🕁 Св. ап. і єв. Івана Богослова,🕁 Святого апостола і євангелиста Івана Богослова,Йоана Богослова,
5,8,,,,,,,Прп. Арсенія Великого,Преподобного отця нашого Арсенія Великого,,
5,9,,,r,🕂,+,&dagger;,🕂 Перенесення чесних мощів св. Миколая Чудотворця з Мир до міста Барі,🕂 Перенесення чесних мощів святого отця нашого Миколая Чудотворця з Мир до міста Барі,Перен. мощей св. Миколая,
5,9,,,,,,,Св. прор. Ісаї,Святого пророка Ісаї,,
5,9,,,,,,,Св. мч. Христофора,Святого мученика Христофора,,
5,10,,,r,🕂,+,&dagger;,🕂 Св. ап. Симона Зилота,🕂 Святого апостола Симона Зилота,Симона Зилота,
5,11,,,r,🕂,+,&dagger;,"🕂 Свв. рівноапп. Кирила й Методія, учителів слов’янських","🕂 Святих рівноапостольних Кирила й Методія, учителів слов’янських",Кирила і Методія,
5,11,,,,,,,Св. сщмч. Мокія,Святого священномученика Мокія,Мокія,
5,12,,,,,,,"Свв. Епіфанія, єп. Кипрського, і Германа, патр. Царгородського","Святих отців наших Епіфанія, єпископа Кипрського, і Германа, патріарха Царгородського",Епіфанія і Германа,
5,13,,,,,,,Св. мц. Гликерії,Святої мучениці Гликерії,Гликерії,
5,14,,,,,,,Св. мч. Ісидора,Святого мученика Ісидора,Ісидора,
5,15,,,,🕃,&,,🕃 Прп. Пахомія Великого,🕃 Преподобного отця нашого Пахомія Великого,Пахомія,
5,16,,,,,,,"Прп. Теодора Освященного, учня св. Пахомія","Преподобного отця нашого Теодора Освященного, учня святого Пахомія",Теодора Освященного,
5,16,,,,,,,"Блаж. сщмчч. Северіана Бараника, Якима Сенківського, Віталія Байрака","Блаженних священномучеників Северіана Бараника, Якима Сенківського, Віталія Байрака",,
5,17,,,,,,,"Св. ап. Андроніка і тих, що з ним","Святого апостола Андроніка і тих, що з ним",Андроніка,
5,17,,,,,,,Блаж. сщмч. Івана Зятика,Блаженного священномученика Івана Зятика,,
5,18,,,,,,,"Св. мч. Теодота (Богдана), що в Анкирі","Святого мученика Теодота (Богдана), що в Анкирі",Теодота,
5,18,,,,,,,"Свв. мчч. Петра, Діонісія і тих, що з ними","Святих мучеників Петра, Діонісія і тих, що з ними",,
5,18,,,,,,,Свв. сімох дів,Святих сімох дів,,
5,19,,,,,,,"Св. сщмч. Патрикія, єп. Пруського, і тих, що з ним","Святого священномученика Патрикія, єпископа Пруського, і тих, що з ним",Патрикія,
5,20,,,,,,,Св. мч. Талалея,Святого мученика Талалея,Талалея,
5,21,,,r,🕂,+,&dagger;,🕂 Свв. великих царів і рівноапп. Константина й Олени,🕂 Святих великих царів і рівноапостольних Константина й Олени,Костянтина і Єлени,
5,22,,,,,,,Св. мч. Василіска,Святого мученика Василіска,Василіска,
5,23,,,,,,,"Прп. Євфросинії Полоцької, ігум. монастиря Св. Спаса","Преподобної Євфросинії Полоцької, ігумені монастиря Святого Спаса",,
5,23,,,,,,,"Прп. й ісп. Михаїла, єп. Синадського","Преподобного отця нашого й ісповідника Михаїла, єпископа Синадського",Михаїла,
5,24,,,,🕃,&,,"🕃 Прп. Микити, стовпника, переяславського чудотв.","🕃 Преподобного отця нашого Микити, стовпника, переяславського чудотворця",,
5,24,,,,🕃,&,,"🕃 Прп. Симеона, що на Дивній горі","🕃 Преподобного отця нашого Симеона, що на Дивній горі",Симеона,
5,25,,,r,🕂,+,&dagger;,"🕂 Третє віднайдення чесної голови св. і славн. прор., предтечі і хрестителя Господнього Івана","🕂 Третє віднайдення чесної голови святого і славного пророка, предтечі і хрестителя Господнього Івана",3 віднайд. голови Івана Предтечі,
5,25,,,,,,,"Блаж. сщмч. Миколи Цегельського, пресвіт.","Блаженного священномученика Миколи Цегельського, пресвітера",,
5,26,,,,,,,"Св. ап. Карпа, одного із сімдесятьох","Святого апостола Карпа, одного із сімдесятьох",Карпа,
5,27,,,,,,,Св. сщмч. Терапонта,Святого священномученика Терапонта,Терапонта,
5,28,,,,,,,"Прп. Микити, єп. Халкедонського","Преподобного отця нашого Микити, єпископа Халкедонського",Микити Халкедонського,
5,29,,,,,,,"Св. прпмц. Теодосії, діви","Святої преподобномучениці Теодосії, діви",Теодосії,
5,30,,,,,,,"Прп. Ісаакія, ігум. обителі Далматської","Преподобного отця нашого Ісаакія, ігумена обителі Далматської",Ісаакія,
5,31,,,,,,,Св. ап. Єрмія,Святого апостола Єрмія,Єрмія,
5,31,,,,,,,Св. мч. Єрмея,Святого мученика Єрмея,,
6,1,,,,,,,"Св. мч. Юстина, філософа, і тих, що з ним","Святого мученика Юстина, філософа, і тих, що з ним",Юстина,
6,2,,,,,,,"Св. Никифора, ісп.","Святого отця нашого Никифора, ісповідника",Никофора,
6,3,,,,,,,"Св. мч. Лукиліяна і тих, що з ним","Святого мученика Лукиліяна і тих, що з ним",Лукиліяна,
6,4,,,,,,,"Св. Митрофана, патр. Царгородського","Святого отця нашого Митрофана, патріарха Царгородського",Митрофана,
6,5,,,,,,,"Св. сщмч. Доротея, єп. Тирського","Святого священномученика Доротея, єпископа Тирського",Доротея,
6,5,,,,,,,"Св. мч. Косми, пресвіт. вірменського","Святого мученика Косми, пресвітера вірменського",,
6,6,,,,,,,"Прп. Висаріона, чудотв.","Преподобного отця нашого Висаріона, чудотворця",Висаріона,
6,6,,,,,,,"Прп. Іларіона Нового, ігум. Далматської обителі, ісп.","Преподобного Іларіона Нового, ігумена Далматської обителі, ісповідника",Іларіона Нового,
6,7,,,,,,,"Св. сщмч. Теодота (Богдана), єп. Анкирського","Святого священномученика Теодота (Богдана), єпископа Анкирського",Теодота Анкирського,
6,8,,,,🕃,&,,🕃 Перенесення мощів св. вмч. Теодора Тирона,🕃 Перенесення мощів святого великомученика Теодора Тирона,Перен. мощей Теодора Тирона,
6,9,,,,🕃,&,,"🕃 Св. Кирила, архиєп. Олександрійського","🕃 Святого отця нашого Кирила, архиєпископа Олександрійського",Кирила Олександр.,
