month,date,day,custom troparia,1-trop1,1-trop2,1-kond,3-trop1,3-trop2,3-kond,6-trop1,6-trop2,6-kond,9-trop1,9-trop2,9-kond,
9,2024.09.27,5,,,,,,,,,,,,,,
9,2024.09.28,6,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
9,2024.09.29,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
9,2024.09.30,1,,,,,,,,,,,,,,
10,2024.10.01,2,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
10,2024.10.02,3,,,,,,,,,,,,,,2
10,2024.10.03,4,,,,,,,,,,,,,,
10,2024.10.04,5,,,,,,,,,,,,,,1
10,2024.10.05,6,,,,,,,,,,,,,,
10,2024.10.06,7,y,resurrection,saint,resurrection,resurrection,saint,saint,resurrection,saint,resurrection,resurrection,saint,saint,
10,2024.10.07,1,,,,,,,,,,,,,,
10,2024.10.08,2,,,,,,,,,,,,,,
10,2024.10.09,3,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
10,2024.10.10,4,,,,,,,,,,,,,,
10,2024.10.11,5,,,,,,,,,,,,,,2
10,2024.10.12,6,,,,,,,,,,,,,,2
10,2024.10.13,7,y,resurrection,feast,resurrection,resurrection,feast,feast,resurrection,feast,resurrection,resurrection,feast,feast,
10,2024.10.14,1,,,,,,,,,,,,,,
10,2024.10.15,2,,,,,,,,,,,,,,2
10,2024.10.16,3,,,,,,,,,,,,,,
10,2024.10.17,4,,,,,,,,,,,,,,2
10,2024.10.18,5,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
10,2024.10.19,6,,,,,,,,,,,,,,2
10,2024.10.20,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
10,2024.10.21,1,,,,,,,,,,,,,,
10,2024.10.22,2,,,,,,,,,,,,,,2
10,2024.10.23,3,,,,,,,,,,,,,,
10,2024.10.24,4,,,,,,,,,,,,,,
10,2024.10.25,5,,,,,,,,,,,,,,
10,2024.10.26,6,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
10,2024.10.27,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
10,2024.10.28,1,,,,,,,,,,,,,,
10,2024.10.29,2,,,,,,,,,,,,,,2
10,2024.10.30,3,,,,,,,,,,,,,,
10,2024.10.31,4,,,,,,,,,,,,,,
11,2024.11.01,5,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
11,2024.11.02,6,,,,,,,,,,,,,,
11,2024.11.03,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
11,2024.11.04,1,,,,,,,,,,,,,,
11,2024.11.05,2,,,,,,,,,,,,,,
11,2024.11.06,3,,,,,,,,,,,,,,
11,2024.11.07,4,,,,,,,,,,,,,,
11,2024.11.08,5,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
11,2024.11.09,6,,,,,,,,,,,,,,
11,2024.11.10,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
11,2024.11.11,1,,,,,,,,,,,,,,
11,2024.11.12,2,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
11,2024.11.13,3,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
11,2024.11.14,4,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
11,2024.11.15,5,,,,,,,,,,,,,,
11,2024.11.16,6,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
11,2024.11.17,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
11,2024.11.18,1,,,,,,,,,,,,,,
11,2024.11.19,2,,,,,,,,,,,,,,
11,2024.11.20,3,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
11,2024.11.21,4,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
11,2024.11.22,5,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
11,2024.11.23,6,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
11,2024.11.24,7,y,resurrection,feast,feast,resurrection,saint,resurrection,resurrection,feast,feast,resurrection,saint,resurrection,
11,2024.11.25,1,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
11,2024.11.26,2,,,,,,,,,,,,,,
11,2024.11.27,3,,,,,,,,,,,,,,
11,2024.11.28,4,,,,,,,,,,,,,,
11,2024.11.29,5,,,,,,,,,,,,,,
11,2024.11.30,6,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
12,2024.12.01,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
12,2024.12.02,1,,,,,,,,,,,,,,
12,2024.12.03,2,,,,,,,,,,,,,,
12,2024.12.04,3,,,,,,,,,,,,,,
12,2024.12.05,4,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
12,2024.12.06,5,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
12,2024.12.07,6,,,,,,,,,,,,,,
12,2024.12.08,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
12,2024.12.09,1,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
12,2024.12.10,2,,,,,,,,,,,,,,
12,2024.12.11,3,,,,,,,,,,,,,,
12,2024.12.12,4,,,,,,,,,,,,,,
12,2024.12.13,5,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
12,2024.12.14,6,,,,,,,,,,,,,,
12,2024.12.15,7,y,resurrection,triodion,triodion,resurrection,triodion,triodion,resurrection,triodion,triodion,resurrection,triodion,triodion,
12,2024.12.16,1,,,,,,,,,,,,,,
12,2024.12.17,2,,,,,,,,,,,,,,
12,2024.12.18,3,,,,,,,,,,,,,,
12,2024.12.19,4,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
12,2024.12.20,5,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
12,2024.12.21,6,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
12,2024.12.22,7,y,resurrection,triodion,triodion,resurrection,triodion,feast,resurrection,triodion,triodion,resurrection,triodion,feast,
12,2024.12.23,1,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
12,2024.12.24,2,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
12,2024.12.25,3,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
12,2024.12.26,4,y,,feast,saint,,feast,saint,,feast,saint,,feast,saint,
12,2024.12.27,5,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
12,2024.12.28,6,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
12,2024.12.29,7,y,resurrection,feast,feast,resurrection,saint,saint,resurrection,feast,feast,resurrection,saint,saint,
12,2024.12.30,1,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
12,2024.12.31,2,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
1,2025.01.01,3,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
1,2025.01.02,4,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
1,2025.01.03,5,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
1,2025.01.04,6,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
1,2025.01.05,7,y,resurrection,feast,resurrection,resurrection,feast,feast,resurrection,feast,resurrection,resurrection,feast,feast,
1,2025.01.06,1,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
1,2025.01.07,2,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
1,2025.01.08,3,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
1,2025.01.09,4,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
1,2025.01.10,5,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
1,2025.01.11,6,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
1,2025.01.12,7,y,resurrection,feast,feast,resurrection,saint,resurrection,resurrection,feast,feast,resurrection,saint,resurrection,
1,2025.01.13,1,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
1,2025.01.14,2,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
1,2025.01.15,3,,,,,,,,,,,,,,
1,2025.01.16,4,,,,,,,,,,,,,,
1,2025.01.17,5,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
1,2025.01.18,6,,,,,,,,,,,,,,
1,2025.01.19,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
1,2025.01.20,1,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
1,2025.01.21,2,,,,,,,,,,,,,,
1,2025.01.22,3,,,,,,,,,,,,,,
1,2025.01.23,4,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
1,2025.01.24,5,,,,,,,,,,,,,,
1,2025.01.25,6,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
1,2025.01.26,7,y,,resurrection,resurrection,resurrection,saint,saint,,resurrection,resurrection,resurrection,saint,saint,
1,2025.01.27,1,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
1,2025.01.28,2,,,,,,,,,,,,,,
1,2025.01.29,3,,,,,,,,,,,,,,
1,2025.01.30,4,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
1,2025.01.31,5,,,,,,,,,,,,,,
2,2025.02.01,6,y,,feast,feast,,feast,feast,,feast,feast,,feast,feast,
2,2025.02.02,7,y,resurrection,feast,resurrection,resurrection,feast,feast,resurrection,feast,resurrection,resurrection,feast,feast,
2,2025.02.03,1,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
2,2025.02.04,2,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
2,2025.02.05,3,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
2,2025.02.06,4,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
2,2025.02.07,5,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
2,2025.02.08,6,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
2,2025.02.09,7,y,resurrection,feast,triodion,resurrection,feast,feast,resurrection,feast,triodion,resurrection,feast,feast,
2,2025.02.10,1,,,,,,,,,,,,,,
2,2025.02.11,2,,,,,,,,,,,,,,
2,2025.02.12,3,,,,,,,,,,,,,,
2,2025.02.13,4,,,,,,,,,,,,,,
2,2025.02.14,5,,,,,,,,,,,,,,
2,2025.02.15,6,,,,,,,,,,,,,,
2,2025.02.16,7,y,,resurrection,triodion,,resurrection,triodion,,resurrection,triodion,,resurrection,triodion,
2,2025.02.17,1,,,,,,,,,,,,,,
2,2025.02.18,2,,,,,,,,,,,,,,
2,2025.02.19,3,,,,,,,,,,,,,,
2,2025.02.20,4,,,,,,,,,,,,,,
2,2025.02.21,5,,,,,,,,,,,,,,
2,2025.02.22,6,,,,,,,,,,,,,,
2,2025.02.23,7,y,,resurrection,triodion,,resurrection,triodion,,resurrection,triodion,,resurrection,triodion,
2,2025.02.24,1,y,,saint,saint,,saint,saint,,saint,saint,,saint,saint,
2,2025.02.25,2,,,,,,,,,,,,,,
2,2025.02.26,3,,,,,,,,,,,,,,
2,2025.02.27,4,,,,,,,,,,,,,,
2,2025.02.28,5,,,,,,,,,,,,,,
3,2025.03.01,6,,,,,,,,,,,,,,
3,2025.03.02,7,y,,resurrection,triodion,,resurrection,triodion,,resurrection,triodion,,resurrection,triodion,
3,2025.03.03,1,n,,,,,,,,,,,,,
3,2025.03.04,2,n,,,,,,,,,,,,,
3,2025.03.05,3,n,,,,,,,,,,,,,
3,2025.03.06,4,n,,,,,,,,,,,,,
3,2025.03.07,5,n,,,,,,,,,,,,,
3,2025.03.08,6,n,,,,,,,,,,,,,
3,2025.03.09,7,y,resurrection,triodion,resurrection,resurrection,saint,saint,resurrection,triodion,triodion,resurrection,saint,saint,
3,2025.03.10,1,n,,,,,,,,,,,,,
3,2025.03.11,2,n,,,,,,,,,,,,,
3,2025.03.12,3,n,,,,,,,,,,,,,
3,2025.03.13,4,n,,,,,,,,,,,,,
3,2025.03.14,5,n,,,,,,,,,,,,,
3,2025.03.15,6,n,,,,,,,,,,,,,
3,2025.03.16,7,y,,resurrection,triodion,resurrection,saint,triodion,,resurrection,triodion,resurrection,saint,triodion,
3,2025.03.17,1,n,,,,,,,,,,,,,
3,2025.03.18,2,n,,,,,,,,,,,,,
3,2025.03.19,3,n,,,,,,,,,,,,,
3,2025.03.20,4,n,,,,,,,,,,,,,
3,2025.03.21,5,n,,,,,,,,,,,,,
3,2025.03.22,6,n,,,,,,,,,,,,,
3,2025.03.23,7,y,resurrection,triodion,triodion,resurrection,triodion,triodion,resurrection,triodion,triodion,resurrection,triodion,triodion,
3,2025.03.24,1,n,,,,,,,,,,,,,
3,2025.03.25,2,n,,,,,,,,,,,,,
3,2025.03.26,3,n,,,,,,,,,,,,,
3,2025.03.27,4,n,,,,,,,,,,,,,
3,2025.03.28,5,n,,,,,,,,,,,,,
3,2025.03.29,6,n,,,,,,,,,,,,,
3,2025.03.30,7,y,,resurrection,resurrection,resurrection,triodion,triodion,,resurrection,resurrection,resurrection,triodion,triodion,
3,2025.03.31,1,n,,,,,,,,,,,,,
4,2025.04.01,2,n,,,,,,,,,,,,,
4,2025.04.02,3,n,,,,,,,,,,,,,
4,2025.04.03,4,n,,,,,,,,,,,,,
4,2025.04.04,5,n,,,,,,,,,,,,,
4,2025.04.05,6,n,,,,,,,,,,,,,
4,2025.04.06,7,y,,resurrection,resurrection,resurrection,triodion,triodion,,resurrection,resurrection,resurrection,triodion,triodion,
4,2025.04.07,1,n,,,,,,,,,,,,,
4,2025.04.08,2,n,,,,,,,,,,,,,
4,2025.04.09,3,n,,,,,,,,,,,,,
4,2025.04.10,4,n,,,,,,,,,,,,,
4,2025.04.11,5,n,,,,,,,,,,,,,
4,2025.04.12,6,n,,,,,,,,,,,,,
4,2025.04.13,7,n,,,,,,,,,,,,,
4,2025.04.14,1,n,,,,,,,,,,,,,
4,2025.04.15,2,n,,,,,,,,,,,,,
4,2025.04.16,3,n,,,,,,,,,,,,,
4,2025.04.17,4,n,,,,,,,,,,,,,
4,2025.04.18,5,n,,,,,,,,,,,,,
4,2025.04.19,6,n,,,,,,,,,,,,,
4,2025.04.20,7,n,,,,,,,,,,,,,
4,2025.04.21,1,n,,,,,,,,,,,,,
4,2025.04.22,2,n,,,,,,,,,,,,,
4,2025.04.23,3,n,,,,,,,,,,,,,
4,2025.04.24,4,n,,,,,,,,,,,,,
4,2025.04.25,5,n,,,,,,,,,,,,,
4,2025.04.26,6,n,,,,,,,,,,,,,
4,2025.04.27,7,n,,,,,,,,,,,,,
4,2025.04.28,1,n,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
4,2025.04.29,2,y,triodion,saint,triodion,triodion,saint,saint,triodion,triodion,triodion,triodion,saint,saint,
4,2025.04.30,3,n,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.01,4,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.02,5,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.03,6,y,triodion,saint,triodion,triodion,saint,saint,triodion,triodion,triodion,triodion,saint,saint,
5,2025.05.04,7,n,,,,,,,,,,,,,
5,2025.05.05,1,y,,feast,triodion,resurrection,saint,saint,,triodion,triodion,feast,saint,saint,
5,2025.05.06,2,y,,feast,triodion,resurrection,saint,saint,,triodion,triodion,feast,saint,saint,
5,2025.05.07,3,y,feast,saint,triodion,resurrection,saint,triodion,triodion,saint,triodion,feast,saint,triodion,
5,2025.05.08,4,n,feast,saint,triodion,resurrection,saint,saint,triodion,triodion,triodion,feast,saint,saint,
5,2025.05.09,5,n,feast,saint,triodion,resurrection,saint,saint,triodion,triodion,triodion,feast,saint,saint,
5,2025.05.10,6,n,feast,saint,triodion,resurrection,saint,saint,triodion,triodion,triodion,feast,saint,saint,
5,2025.05.11,7,y,resurrection,saint,triodion,resurrection,saint,saint,resurrection,saint,triodion,resurrection,saint,saint,
5,2025.05.12,1,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.13,2,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.14,3,n,,,,,,,,,,,,,
5,2025.05.15,4,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
5,2025.05.16,5,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
5,2025.05.17,6,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
5,2025.05.18,7,n,resurrection,feast,feast,resurrection,feast,triodion,resurrection,feast,feast,resurrection,feast,triodion,
5,2025.05.19,1,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
5,2025.05.20,2,y,,feast,feast,feast,saint,saint,,feast,feast,feast,saint,saint,
5,2025.05.21,3,y,feast,saint,feast,feast,saint,saint,feast,saint,feast,feast,saint,saint,
5,2025.05.22,4,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.23,5,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.24,6,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.25,7,y,resurrection,saint,triodion,resurrection,saint,saint,resurrection,saint,triodion,resurrection,saint,saint,
5,2025.05.26,1,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.27,2,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.28,3,n,,,,,,,,,,,,,
5,2025.05.29,4,n,,,,,,,,,,,,,
5,2025.05.30,5,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
5,2025.05.31,6,y,,triodion,triodion,triodion,saint,saint,,triodion,triodion,triodion,saint,saint,
