0,1,2,3,4,5,6,7,8,9,10,,
Січень,10.01,6,сб,"Св. Григорія, єп. Ниського Прп. Дометіяна, єп. Мелітинського Прп. Маркіяна, пресвіт. й економа Великої Церкви","святого отця нашого Григорія, єпископа Ниського, преподобного Дометіяна, єпископа Мелітинського, преподобного Маркіяна, пресвітера й економа Великої Церкви",так,посвяття,"істинний Бог наш,","істинний Бог наш, що в Йордані христитися зволив від Йоана спасіння нашого ради,",#N/A,#N/A,#N/A
Січень,11.01,7,нд,"Субота по Богоявленні 🕂 Прп. Теодосія, спільного життя засновника","преподобного отця нашого Теодосія, спільного життя засновника",так,посвяття,"істинний Бог наш,","істинний Бог наш, що в Йордані христитися зволив від Йоана спасіння нашого ради,",#N/A,#N/A,#N/A
Січень,12.01,1,пн,Неділя по Богоявленні Св. мц. Тетяни,святої мучениці Тетяни,так,посвяття,"істинний Бог наш,","істинний Бог наш, що в Йордані христитися зволив від Йоана спасіння нашого ради,",#N/A,#N/A,#N/A
Січень,13.01,2,вв,Свв. мчч. Єрмила і Стратоніка,святих мучеників Єрмила і Стратоніка,так,посвяття,"істинний Бог наш,","істинний Бог наш, що в Йордані христитися зволив від Йоана спасіння нашого ради,",#N/A,#N/A,#N/A
Січень,14.01,3,ср,"Прпп., у Синаї і Раїті повбиваних Пам’ять переставл. св. рівноап. Ніни, просвітительки Грузії Віддання Богоявлення</i>","преподобних отців наших, у Синаї і Раїті повбиваних, святої рівноапостольної Ніни, просвітительки Грузії",так,віддання,"істинний Бог наш,","істинний Бог наш, що в Йордані христитися зволив від Йоана спасіння нашого ради,",#N/A,#N/A,
Січень,15.01,4,чт,🕃 Прпп. Павла Тивейського та Івана Кущника,преподобних отців наших Павла Тивейського та Івана Кущника,ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і преподобних отців наших Павла Тивейського та Івана Кущника, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Миколая, архиєпископа Мир Ликійських, чудотворця, і святого, якого є храм, і преподобних отців наших Павла Тивейського та Івана Кущника, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Січень,16.01,5,пт,🕃 Поклін чесним оковам св. і всехв. ап. Петра,"святого і всехвального апостола Петра, що його чесним оковам сьогодні поклін звершуємо",ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святого і всехвального апостола Петра, що його чесним оковам сьогодні поклін звершуємо, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, силою чесного і животворчого хреста, заступництвом святих славних і всехвальних апостолів, і святого, якого є храм, і святого і всехвального апостола Петра, що його чесним оковам сьогодні поклін звершуємо, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Січень,17.01,6,сб,🕂 Прп. й богоносного Антонія Великого,"преподобного й богоносного отця нашого Антонія Великого, якого сьогодні пам'ять світло звершуємо",так,свято,,,#N/A,#N/A,#N/A
Січень,18.01,7,нд,🕃 Свв. і архиєпп. Олександрійських Атанасія й Кирила,святих отців наших і архиєпископів Олександрійських Атанасія й Кирила,ні,,,,"Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і святих отців наших і архиєпископів Олександрійських Атанасія й Кирила, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, що воскрес із мертвих, істинний Бог наш - молитвами пречистої Своєї Матері, святих славних і всехвальних апостолів, і святого, якого є храм, і святих отців наших і архиєпископів Олександрійських Атанасія й Кирила, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Січень,19.01,1,пн,Неділя 30-та по Зісланні Святого Духа. 🕃 Прп. Макарія Єгипетського,преподобного отця нашого Макарія Єгипетського,ні,,,,"Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, заступництвом чесних небесних сил безтілесних, святих славних і всехвальних апостолів, святого отця нашого Івана Золотоустого, архиєпископа Константинополя, і святого, якого є храм, і преподобного отця нашого Макарія Єгипетського, і всіх святих - помилує і спасе нас як благий і людинолюбний.","Священник: Христос, істинний Бог наш - молитвами пречистої Своєї Матері, заступництвом чесних небесних сил безтілесних, святих славних і всехвальних апостолів, і святого, якого є храм, і преподобного отця нашого Макарія Єгипетського, і всіх святих - помилує і спасе нас як благий і людинолюбний.",
Січень,20.01,2,вв,🕂 Прп. й богоносного Євтимія Великого,"прeподобного й богоносного отця нашого Євтимія Великого, якого сьогодні пам'ять світло звершуємо",так,свято,,,#N/A,#N/A,#N/A
