Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText,,,,,,VLOOKUP,,,Місяць,День,Ім'я
9,23,,,r,🕃,@,,"🕃 Зачаття чесного славн. прор., предтечі і хрестителя Господнього Івана","🕃 Зачаття чесного славного пророка, предтечі і хрестителя Господнього Івана",Зачаття Івана Предтечі,,,923,Зачаття Йоана Предтечі,,Зачаття Йоана Предтечі,,1010,10,10,Євлампія і Євлампії
9,24,,,,🕃,&,,🕃 Св. первмц. й рівноап. Теклі,🕃 Святої первомучениці й рівноапостольної Теклі,первом. Теклі,,,924,первом. Теклі,,первом. Теклі,,1011,10,11,"Филипа, диякона"
9,25,,,,,,,Прп. Євфросинії,Преподобної матері нашої Євфросинії,Євфросинії,,,925,Євфросинії,,Євфросинії,,1012,10,12,"Прова, Тараха, Андроніка"
9,26,,,r,🕁,*,&dagger;,🕁 Переставл. св. ап. і єв. Івана Богослова,🕁 Переставлення святого апостола і євангелиста Івана Богослова,Івана Богослова,,,926,Йоана Богослова,,Йоана Богослова,,1013,10,13,"мчч.Карпа, Папили, Агатоніки"
9,27,,,,,,,"Св. мч. Калістрата і тих, що з ним","Святого мученика Калістрата і тих, що з ним",Калістрата,,,927,Калістрата,,Калістрата,,1014,10,14,"Назарія, Гервасія"
9,27,,,,,,,"Прп. Ніла, основника й ігум. монастиря Гроттаферратського","Преподобного отця нашого Ніла, основника й ігумена монастиря Гроттаферратського",,,,927,Калістрата,,Калістрата,,1015,10,15,Євтимія Нового
9,28,,,r,🕂,+,&dagger;,🕂 Прп. й ісп. Харитона,🕂 Преподобного отця нашого й ісповідника Харитона,Харитона,,,928,Харитона,,Харитона,,1016,10,16,Лонгина
9,28,,,,,,,"Св. мц. Людмили і св. В’ячеслава, князя чеського","Святої мучениці Людмили і святого В’ячеслава, князя чеського",,,,928,Харитона,,Харитона,,1017,10,17,"Осії, Андрея Критського"
9,28,,,,,,,"Собор прпп. отців Печерських, що споч. у бл. печерах прп. Антонія","Собор преподобних отців Печерських, що спочивають у ближніх печерах преподобного Антонія",,,,928,Харитона,,Харитона,,1018,10,18,ап.єв.Луки
9,28,,,,,,,"Блаж. сщмч. Никити Будки, єп.","Блаженного священномученика Никити Будки, єпископа",,,,928,Харитона,,Харитона,,1019,10,19,прор.Йоіла
9,29,,,,🕃,&,,"🕃 Прп. Киріака, самітника","🕃 Преподобного отця нашого Киріака, самітника",Киріяка,,,929,Киріяка,,Киріяка,,1020,10,20,Артемія
9,30,,,,🕃,&,,"🕃 Св. сщмч. Григорія, єп. Великої Вірменії","🕃 Святого священномученика Григорія, єпископа Великої Вірменії",Григорія,,,930,"Григорія, просвітителя",,"Григорія, просвітителя",,1021,10,21,Іларіона Великого
10,1,b,,r,🕀,#,&oplus;,🕀 Покров Пресвятої Богородиці,🕀 Покров Пресвятої Богородиці,Покров Богородиці,,,101,Покров Богородиці,,Покров Богородиці,,1022,10,22,Аверкія
10,1,,,,,,,"Св. ап. Ананії, одного із сімдесятьох","Святого апостола Ананії, одного із сімдесятьох",,,,101,Покров Богородиці,,Покров Богородиці,,1023,10,23,ап.Якова
10,1,,,,,,,Прп. Романа Сладкопівця,Преподобного отця нашого Романа Сладкопівця,,,,101,Покров Богородиці,,Покров Богородиці,,1024,10,24,Арети
10,2,,,,🕃,&,,🕃 Св. сщмч. Кипріана,🕃 Святого священномученика Кипріана,Кипріяна,,,102,Кипріяна,,Кипріяна,,1025,10,25,Маркіяна і Мартирія
10,2,,,,,,,Св. мц. Юстини,Святої мучениці Юстини,,,,102,Кипріяна,,Кипріяна,,1026,10,26,Димитрія мироточця
10,2,,,,,,,"Св. Андрія, Христа ради юродивого","Святого Андрія, Христа ради юродивого",,,,102,Кипріяна,,Кипріяна,,1027,10,27,мч.Нестора
10,3,,,,🕃,&,,🕃 Св. сщмч. Діонісія Ареопагіта,🕃 Святого священномученика Діонісія Ареопагіта,Діонісія Ареопагіта,,,103,Діонісія Ареопагіта,,Діонісія Ареопагіта,,1028,10,28,Терентія і Неоніли
10,4,,,,,,,"Св. сщмч. Єротея, єп. Атенського","Святого священномученика Єротея, єпископа Атенського",Єротея,,,104,Єротея,,Єротея,,1029,10,29,Анастасії Римлянки
10,4,,,,,,,Прп. Франциска Асизького,Преподобного отця нашого Франциска Асизького,,,,104,Єротея,,Єротея,,1030,10,30,Зиновія і Зиновії
10,5,,,,,,,Св. мц. Харитини,Святої мучениці Харитини,Харитини,,,105,Харитини,,Харитини,,1031,10,31,"апп.Стахія,Амплія"
10,6,,,r,🕂,+,&dagger;,🕂 Св. і славн. ап. Томи,🕂 Святого і славного апостола Томи,ап. Томи,,,106,ап. Томи,,ап. Томи,,111,11,1,свсмч.Теодора Ромжі
10,7,,,,🕃,&,,🕃 Свв. мчч. Сергія і Вакха,🕃 Святих мучеників Сергія і Вакха,Сергія і Вакха,,,107,Сергія і Вакха,,Сергія і Вакха,,112,11,2,мчч. Акиндина та ін.
10,8,,,,,,,Прп. Пелагії,Преподобної матері нашої Пелагії,Пелагії,,,108,Пелагії,,Пелагії,,113,11,3,мчч.Апексими та ін.
10,9,,,r,🕂,+,&dagger;,🕂 Св. ап. Якова Алфеєвого,🕂 Святого апостола Якова Алфеєвого,ап. Якова,,,109,Свв.Отців-ап. Якова,,Свв.Отців-ап. Якова,,114,11,4,прп.Йоаникія Великого
10,9,,,,,,,Прп. Андроніка і дружини його Атанасії,Преподобного отця нашого Андроніка і дружини його Атанасії,,,,109,Свв.Отців-ап. Якова,,Свв.Отців-ап. Якова,,115,11,5,мчч.Галактіона і Епістими
10,10,,,,,,,Свв. мчч. Євлампія і Євлампії,Святих мучеників Євлампія і Євлампії,Євлампія і Євлампії,,,1010,Євлампія і Євлампії,,Євлампія і Євлампії,,116,11,6,св. Павла
10,11,,,,,,,"Св. ап. Филипа, одного із семи дияконів","Святого апостола Филипа, одного із семи дияконів","Филипа, диякона",,,1011,"Филипа, диякона",,"Филипа, диякона",,117,11,7,"мчч., що в Елітині"
10,11,,,,,,,"Прп. Теофана Начертанного, єп. Нікейського і творця канонів","Преподобного Теофана Начертанного, єпископа Нікейського і творця канонів",,,,1011,"Филипа, диякона",,"Филипа, диякона",,118,11,8,арх.Михаїла
10,12,,,,,,,"Свв. мчч. Прова, Тараха й Андроніка","Святих мучеників Прова, Тараха й Андроніка","Прова, Тараха, Андроніка",,,1012,"Прова, Тараха, Андроніка",,"Прова, Тараха, Андроніка",,1110,11,10,"апп.Єраста, Олімпа"
10,12,,,,,,,"Прп. Косми Святоградця, єп. Маюмського і творця канонів","Преподобного отця нашого Косми Святоградця, єпископа Маюмського і творця канонів",,,,1012,"Прова, Тараха, Андроніка",,"Прова, Тараха, Андроніка",,1111,11,11,"мчч.Мини, Віктора"
10,12,,,,,,,"Пам’ять св. Мартина Милостивого, єп. Турського","Пам’ять святого отця нашого Мартина Милостивого, єпископа Турського",,,,1012,"Прова, Тараха, Андроніка",,"Прова, Тараха, Андроніка",,1112,11,12,свщмч.Йосафата
10,13,,,,,,,"Свв. мчч. Карпа, Папили й Агатоніки","Святих мучеників Карпа, Папили й Агатоніки","мчч.Карпа, Папили, Агатоніки",,,1013,"мчч.Карпа, Папили, Агатоніки",,"мчч.Карпа, Папили, Агатоніки",,1113,11,13,свт.Йоана Золотоустого
10,14,,,,,,,"Свв. мчч. Назарія, Гервасія, Протасія й Келсія","Святих мучеників Назарія, Гервасія, Протасія й Келсія","Назарія, Гервасія",,,1014,"Назарія, Гервасія",,"Назарія, Гервасія",,1114,11,14,ап.Филипа
10,14,,,,🕃,&,,🕃 Прп. Параскеви Терновської,🕃 Преподобної матері нашої Параскеви Терновської,,,,1014,"Назарія, Гервасія",,"Назарія, Гервасія",,1115,11,15,"Гурія, Самона, Авіва"
10,14,,,,,,,"Блаж. сщмч. Романа Лиска, пресвіт.","Блаженного священномученика Романа Лиска, пресвітера",,,,1014,"Назарія, Гервасія",,"Назарія, Гервасія",,1116,11,16,ап.Матея
10,15,,,,,,,Прп. Євтимія Нового,Преподобного отця нашого Євтимія Нового,Євтимія Нового,,,1015,Євтимія Нового,,Євтимія Нового,,1117,11,17,Григорія Чудотворця
10,15,,,,,,,"Св. прпмч. Лук’яна, пресвіт. Великої Антіохії","Святого преподобномученика Лук’яна, пресвітера Великої Антіохії",,,,1015,Євтимія Нового,,Євтимія Нового,,1118,11,18,мчч.Платона і Романа
10,16,,,,,,,"Св. мч. Лонгина, сотника","Святого мученика Лонгина, сотника",Лонгина,,,1016,Лонгина,,Лонгина,,1119,11,19,Авдія.Варлаама
10,17,,,,,,,Св. прор. Осії,Святого пророка Осії,Осії,,,1017,"Осії, Андрея Критського",,"Осії, Андрея Критського",,1120,11,20,прп. Йосафати
