Мт. 74 зач.; 18, 1-11.
Лк. 106 зач.; 21, 12-19.
Мт. 76 зач.; 18, 18-22; 19, 1-2; 13-15.
Йо. 52 зач.; 15, 17 – 16, 2.
Мт. 80 зач.; 20, 1-16.
Мт. 81 зач.; 20, 17-28.
Мт. 83 зач.; 21, 12-14; 17-20.
Мт. 64 зач.; 15, 32-39.
Йо. 65 зач.; 20, 19-31.
Мт. 59 зач.; 14, 22-34.
Йо. 60 зач.; 19, 6-11; 13-20; 25-28; 30-35.
Мт. 84 зач.; 21, 18-22.
Мт. 85 зач.; 21, 23-27.
Мт. 86 зач.; 21, 28-32.
Мт. 88 зач.; 21, 43-46.
Мт. 67 зач.; 16, 13-18.
Лк. 45 зач.; 9, 28-36.
Мт. 70 зач.; 17, 1-9.
Мт. 73 зач.; 17, 24 – 18, 4.
Йо. 66 зач.; 21, 1-14.
Мт. 72 зач.; 17, 14-23.
Йо. 67 зач.; 21, 15-25.
Мт. 94 зач.; 23, 13-22.
Лк. 40 зач.; 9, 1-6.
Мт. 95 зач.; 23, 23-28.
Мт. 96 зач.; 23, 29-39.
Мт. 99 зач.; 24, 13-28.
Мт. 100 зач.; 24, 27-33; 42-51.
Мт. 78 зач.; 19, 3-12.
Мт. 43 зач.; 11, 27-30.
Лк. 4 зач.; 1, 39-49; 56.
Мт. 77 зач.; 18, 23-35.
Лк. 54 зач.; 10, 38-42; 11, 27-28.
Мр. 2 зач.; 1, 9-15.
Лк. 48 зач. (від половини); 9, 51-56; 10, 22-24.
Мр. 3 зач.; 1, 16-22.
Мр. 4 зач.; 1, 23-28.
Мр. 5 зач.; 1, 29-35.
Мр. 9 зач.; 2, 18-22.
Мт. 82 зач.; 20, 29-34.
Мт. 116 зач.; 28, 16-20.
Мт. 79 зач.; 19, 16-26.
Мр. 11 зач.; 3, 6-12.
Лк. 54 зач.; 10, 38-42; 11, 27-28.
Мр. 12 зач.; 3, 13-19.
Мр. 13 зач.; 3, 20-27.
Мр. 14 зач.; 3, 28-35.
Мр. 15 зач.; 4, 1-9.
Мт. 90 зач.; 22, 15-22.
Мр. 70 зач.; 16, 1-8.
Мт. 87 зач.; 21, 33-42.
Мр. 24 зач.; 6, 14-30.
Мр. 16 зач.; 4, 10-23.
Лк. 4 зач.; 1, 39-49; 56.
Мр. 17 зач.; 4, 24-34.
Лк. 54 зач.; 10, 38-42; 11, 27-28.
Лк. 13 зач.; 4, 16-22.
Мт. 43 зач.; 11, 27-30.
Мр. 19 зач.; 5, 1-20.
Мр. 20 зач.; 5, 22-24; 35 – 6, 1.
Мт. 93 зач.; 23, 1-12.
Мр. 71 зач.; 16, 9-20.
Мт. 89 зач.; 22, 1-14.
Мр. 21 зач.; 5, 24-34.
Мр. 22 зач.; 6, 1-7.
Лк. 4 зач.; 1, 39-49; 56.
Лк. 54 зач.; 10, 38-42; 11, 27-28.
Мр. 25 зач.; 6, 30-45.
Мр. 26 зач.; 6, 45-53.
Мт. 39 зач.; 10, 37 – 11, 1.
Лк. 112 зач.; 24, 1-12.
Йо. 9 зач.; 3, 13-17.
Лк. 54 зач.; 10, 38-42; 11, 27-28.
Мр. 27 зач.; 6, 54 – 7, 8.
Мт. 67 зач.; 16, 13-19.
Йо. 42 зач.; 12, 28-36.
Йо. 60 зач.; 19, 6-11; 13-20; 25-28; 30-35.
Мр. 29 зач.; 7, 14-24.
Мр. 30 зач.; 7, 24-30.
Мр. 32 зач.; 8, 1-10.
Йо. 30 зач.; 8, 21-30.
Лк. 113 зач.; 24, 12-35.
Мр. 37 зач.; 8, 34 – 9, 1.
Мр. 48 зач.; 10, 46-52.
Мр. 50 зач.; 11, 11-23.
Мр. 51 зач.; 11, 23-26.
Мр. 52 зач.; 11, 27-33.
Лк. 2 зач.; 1, 5-25.
Мр. 53 зач.; 12, 1-12.
Мт. 104 зач.; 25, 1-13.
Лк. 114 зач.; 24, 36-53.
Мт. 62 зач.; 15, 21-28.
Йо. 61 зач.; 19, 25-27; 21, 24-25.
Лк. 10 зач.; 3, 19-22.
Мт. 10 зач.; 4, 25 – 5, 12.
Лк. 11 зач.; 3, 23 – 4, 1.
Лк. 24 зач.; 6, 17-23.
Лк. 12 зач.; 4, 1-15.
Лк. 13 зач.; 4, 16-22.
Лк. 4 зач.; 1, 39-49; 56.
Лк. 54 зач.; 10, 38-42; 11, 27-28.
Лк. 15 зач.; 4, 31-36.
Йо. 63 зач.; 20, 1-10.
Лк. 17 зач.; 5, 1-11.
Лк. 16 зач.; 4, 37-44.
Лк. 18 зач.; 5, 12-16.
Йо. 67 зач.; 21, 15-25.
Лк. 21 зач.; 5, 33-39.
Йо. 65 зач.; 20, 19-31.
Лк. 23 зач.; 6, 12-19.
Лк. 24 зач.; 6, 17-23.
Йо. 67 зач.; 21, 15-25.
Лк. 19 зач.; 5, 17-26.
Лк. 51 зач.; 10, 16-21.
Йо. 64 зач.; 20, 11-18.
Лк. 26 зач.; 6, 31-36.
Йо. 56 зач.; 17, 1-13.
Лк. 25 зач.; 6, 24-30.
Лк. 27 зач.; 6, 37-45.
Лк. 28 зач.; 6, 46 – 7, 1.
Лк. 31 зач.; 7, 17-30.
Лк. 32 зач.; 7, 31-35.
Лк. 20 зач.; 5, 27-32.
Йо. 65 зач.; 20, 19-31.
Лк. 30 зач.; 7, 11-16.
Йо. 67 зач.; 21, 15-25.
Лк. 33 зач.; 7, 36-50.
Лк. 51 зач.; 10, 16-21.
Йо. 35 зач.; 10, 1-9.
Лк. 34 зач.; 8, 1-3.
Лк. 37 зач.; 8, 22-25.
Лк. 41 зач.; 9, 7-11.
Лк. 42 зач.; 9, 12-17.
Лк. 22 зач.; 6, 1-10.
